ants-1  ,Min01 ,azerty,Assure--essai                              ,Assure--essai                              ,"Paolo, Luigi, Francesco, Gianluca"              ,Male         ,min01@mail.com,612345678,1985-12-02,37000 ,99100,France  ,Mornant                   ,69440,11 bis Rue Henri-IV
ants-304,Min304,azerty,BEN ALDERIA	                              ,BEN ALDERIA                                ,Chandler                                         ,Female       ,min304@mail.com,612345678,1957-09-13,99352 ,99352,France  ,NIMES                     ,30000,
ants-305,Min305,azerty,LI PENG                                    ,LI PENG                                    ,Ross                                             ,Male         ,min305@mail.com,612345678,2001-11-12,99216 ,99216,France  ,NIMES                     ,30000,
ants-306,Min306,azerty,TAKASHI                                    ,TAKASHI                                    ,Joey                                             ,Male         ,Min306@mail.com,612345678,1954-05-01,99217 ,99217,France  ,NIMES                     ,30000,
ants-307,Min307,azerty,MOHINIYATTAM                               ,MOHINIYATTAM                               ,Rémi                                             ,Male         ,Min307@mail.com,612345678,1992-03-14,99223 ,99223,France  ,NIMES                     ,30000,
ants-308,Min308,azerty,MARQUISE                                   ,MARQUISE                                   ,Charles-Henry                                    ,Male         ,Min308@mail.com,612345678,1992-03-12,99254 ,99254,France  ,NIMES                     ,30000,
ants-309,Min308,azerty,CRUZERO                                    ,CRUZERO                                    ,Nathaly                                          ,Female       ,Min309@mail.com,612345678,1985-01-01,99424 ,99424,France  ,NIMES                     ,30000,
ants-310,Min310,azerty,VEGAS                                      ,VEGAS                                      ,Johnny                                           ,Male         ,Min310@mail.com,612345678,1991-01-01,99139 ,99139,France  ,NIMES                     ,30000,
ants-311,Min311,azerty,ZIDANE                                     ,ZIDANE                                     ,John                                             ,Male         ,Min311@mail.com,612345678,1991-01-01,99139 ,99139,France  ,NIMES                     ,,
ants-312,Min312,azerty,HOLLYDAY                                   ,HOLLYDAY                                   ,Johnny                                           ,Male         ,Min312@mail.com,612345678,1991-01-01,99139 ,99139,France  ,NIMES                     ,,
ants-313,Min313,azerty,ANTS                                       ,ANTS                                       ,Nathalie                                         ,Female       ,Min313@mail.com,612345678,1993-01-04,99205 ,99205,France  ,NIMES                     ,,
ants-314,Min314,azerty,STALLONE                                   ,STALLONE                                   ,Najat                                            ,Female       ,Min314@mail.com,612345678,1974-12-01,99205 ,99225,France  ,NIMES                     ,,
ants-315,Min315,azerty,PICO                                       ,PICO                                       ,Alexi                                            ,Male         ,Min315@mail.com,612345678,1993-09-08,99134 ,99134,France  ,NIMES                     ,,
ants-316,Min316,azerty,WONDER-LAND                                ,WONDER-LAND                                ,Alice                                            ,Female       ,Min316@mail.com,612345678,2002-02-20,99134 ,99134,France  ,NIMES                     ,,
ants-317,Min317,azerty,RICARDO                                    ,RICARDO                                    ,Jonatan                                          ,Male         ,Min317@mail.com,612345678,1978-03-03,99134 ,99134,France  ,NIMES                     ,,
ants-318,Min318,azerty,MOULINA                                    ,MOULINA                                    ,Celia                                            ,Female       ,Min318@mail.com,612345678,1993-04-01,99139 ,99139,France  ,NIMES                     ,,
ants-319,Min319,azerty,BOLERO                                     ,BOLERO                                     ,Julien                                           ,Male         ,Min319@mail.com,612345678,1994-05-12,99134, 99134,France  ,NIMES                     ,,
ants-320,Min320,azerty,NORRIS                                     ,NORRIS                                     ,Chuck                                            ,Male         ,Min320@mail.com,612345678,1997-07-27,99404, 99404,France  ,NIMES                     ,,
